Folder,Case_folder,Timeseries,Family,PLF,Averaging_method
.,dlc13,dlc13_wsp04_wdir000_s023004,1,1.5,mean
.,dlc13,dlc13_wsp04_wdir000_s034004,1,1.5,mean
